dataset: padufes
metrics/test/f1_micro: 0.42231075697211157
metrics/test/f1_weighted: 0.25967286516026394
-------train: 7-------
metrics/train/loss: 2.7252882942557335
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 7-------
metrics/val/acc: 0.4279835390946502
metrics/val/auc_macro_ovo: 0.5173537305421363
metrics/val/auc_macro_ovr: 0.5102587336237566
metrics/val/auc_weighted_ovo: 0.5187007564461938
metrics/val/auc_weighted_ovr: 0.5410849905578714
metrics/val/bacc: 0.1798148148148148
metrics/val/f1_macro: 0.1330726232297121
metrics/val/f1_micro: 0.4279835390946502
metrics/val/f1_weighted: 0.3040581363346363
-------test: 7-------
metrics/test/acc: 0.42231075697211157
metrics/test/auc_macro_ovo: 0.555165434398685
metrics/test/auc_macro_ovr: 0.5629537018156318
metrics/test/auc_weighted_ovo: 0.5617300002724666
metrics/test/auc_weighted_ovr: 0.5698992984714277
metrics/test/bacc: 0.1763663967611336
metrics/test/f1_macro: 0.13261106652674035
metrics/test/f1_micro: 0.42231075697211157
metrics/test/f1_weighted: 0.30437764959668706
-------train: 8-------
metrics/train/loss: 2.6457981541752815
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 8-------
metrics/val/acc: 0.4156378600823045
metrics/val/auc_macro_ovo: 0.5773130451556628
metrics/val/auc_macro_ovr: 0.5987322450438591
metrics/val/auc_weighted_ovo: 0.5991114838671201
metrics/val/auc_weighted_ovr: 0.6025219468341975
metrics/val/bacc: 0.18194444444444446
metrics/val/f1_macro: 0.14808964268558547
metrics/val/f1_micro: 0.4156378600823045
metrics/val/f1_weighted: 0.32662516314242535
New best auc_macro_ovo score (0.5773)
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------test: 8-------
metrics/test/acc: 0.4262948207171315
metrics/test/auc_macro_ovo: 0.5846773982367041
metrics/test/auc_macro_ovr: 0.6049724808814847
metrics/test/auc_weighted_ovo: 0.6102992770519232
metrics/test/auc_weighted_ovr: 0.6341213641915676
metrics/test/bacc: 0.18564439946018893
metrics/test/f1_macro: 0.15299153925081158
metrics/test/f1_micro: 0.4262948207171315
metrics/test/f1_weighted: 0.3400854873888912
-------train: 9-------
metrics/train/loss: 2.619856059551239
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 9-------
metrics/val/acc: 0.4444444444444444
metrics/val/auc_macro_ovo: 0.5836257716049382
metrics/val/auc_macro_ovr: 0.6056635296124756
metrics/val/auc_weighted_ovo: 0.6068805490944514
metrics/val/auc_weighted_ovr: 0.6109499506614747
metrics/val/bacc: 0.1851851851851852
metrics/val/f1_macro: 0.13238265002970886
metrics/val/f1_micro: 0.4444444444444444
metrics/val/f1_weighted: 0.30518107729436705
New best auc_macro_ovo score (0.5836)
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------test: 9-------
metrics/test/acc: 0.4342629482071713
metrics/test/auc_macro_ovo: 0.6220297180407147
metrics/test/auc_macro_ovr: 0.651862686308273
metrics/test/auc_weighted_ovo: 0.6539357961245698
metrics/test/auc_weighted_ovr: 0.6666572963971332
metrics/test/bacc: 0.17763157894736845
metrics/test/f1_macro: 0.12000839296757665
metrics/test/f1_micro: 0.4342629482071713
metrics/test/f1_weighted: 0.2856709921511938
Load checkpoint from: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------final test-------
metrics/final_test/acc: 0.4351593625498007
metrics/final_test/acc_std: 0.030908831543220532
metrics/final_test/auc_macro_ovo: 0.6214772987378503
metrics/final_test/auc_macro_ovo_std: 0.026798727419040293
metrics/final_test/auc_macro_ovr: 0.6510437053077313
metrics/final_test/auc_macro_ovr_std: 0.032709506026712916
metrics/final_test/auc_weighted_ovo: 0.6533138075002971
metrics/final_test/auc_weighted_ovo_std: 0.03132791372153119
metrics/final_test/auc_weighted_ovr: 0.6663481637273211
metrics/final_test/auc_weighted_ovr_std: 0.02246834625695528
metrics/final_test/bacc: 0.17756304473095738
metrics/final_test/bacc_std: 0.004859533339143909
metrics/final_test/f1_macro: 0.11974586798130202
metrics/final_test/f1_macro_std: 0.009878526547905437
metrics/final_test/f1_micro: 0.4351593625498007
metrics/final_test/f1_micro_std: 0.030908831543220532
metrics/final_test/f1_weighted: 0.28678061391464554
metrics/final_test/f1_weighted_std: 0.033475769184450825
Save predictions to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\predictions.txt
